name	link
গ্যাংটকে গণ্ডগোল (১৯৭০)	https://www.ebanglalibrary.com/category/%e0%a6%b8%e0%a6%a4%e0%a7%8d%e0%a6%af%e0%a6%9c%e0%a6%bf%e0%a7%8e-%e0%a6%b0%e0%a6%be%e0%a6%af%e0%a6%bc/%e0%a6%ab%e0%a7%87%e0%a6%b2%e0%a7%81%e0%a6%a6%e0%a6%be-%e0%a6%b8%e0%a6%ae%e0%a6%97%e0%a7%8d%e0%a6%b0/%e0%a6%97%e0%a7%8d%e0%a6%af%e0%a6%be%e0%a6%82%e0%a6%9f%e0%a6%95%e0%a7%87-%e0%a6%97%e0%a6%a3%e0%a7%8d%e0%a6%a1%e0%a6%97%e0%a7%8b%e0%a6%b2-%e0%a7%a7%e0%a7%af%e0%a7%ad%e0%a7%a6/
ঘুরঘুটিয়ার ঘটনা (১৯৭৫)	https://www.ebanglalibrary.com/category/%e0%a6%b8%e0%a6%a4%e0%a7%8d%e0%a6%af%e0%a6%9c%e0%a6%bf%e0%a7%8e-%e0%a6%b0%e0%a6%be%e0%a6%af%e0%a6%bc/%e0%a6%ab%e0%a7%87%e0%a6%b2%e0%a7%81%e0%a6%a6%e0%a6%be-%e0%a6%b8%e0%a6%ae%e0%a6%97%e0%a7%8d%e0%a6%b0/%e0%a6%98%e0%a7%81%e0%a6%b0%e0%a6%98%e0%a7%81%e0%a6%9f%e0%a6%bf%e0%a7%9f%e0%a6%be%e0%a6%b0-%e0%a6%98%e0%a6%9f%e0%a6%a8%e0%a6%be-%e0%a7%a7%e0%a7%af%e0%a7%ad%e0%a7%ab/
ছিন্নমস্তার অভিশাপ (উপন্যাস) (১৯৭৮)	https://www.ebanglalibrary.com/category/%e0%a6%b8%e0%a6%a4%e0%a7%8d%e0%a6%af%e0%a6%9c%e0%a6%bf%e0%a7%8e-%e0%a6%b0%e0%a6%be%e0%a6%af%e0%a6%bc/%e0%a6%ab%e0%a7%87%e0%a6%b2%e0%a7%81%e0%a6%a6%e0%a6%be-%e0%a6%b8%e0%a6%ae%e0%a6%97%e0%a7%8d%e0%a6%b0/%e0%a6%9b%e0%a6%bf%e0%a6%a8%e0%a7%8d%e0%a6%a8%e0%a6%ae%e0%a6%b8%e0%a7%8d%e0%a6%a4%e0%a6%be%e0%a6%b0-%e0%a6%85%e0%a6%ad%e0%a6%bf%e0%a6%b6%e0%a6%be%e0%a6%aa-%e0%a7%a7%e0%a7%af%e0%a7%ad%e0%a7%ae/
জাহাঙ্গীরের স্বর্ণমুদ্রা (গল্প) (১৯৮৩)	https://www.ebanglalibrary.com/category/%e0%a6%b8%e0%a6%a4%e0%a7%8d%e0%a6%af%e0%a6%9c%e0%a6%bf%e0%a7%8e-%e0%a6%b0%e0%a6%be%e0%a6%af%e0%a6%bc/%e0%a6%ab%e0%a7%87%e0%a6%b2%e0%a7%81%e0%a6%a6%e0%a6%be-%e0%a6%b8%e0%a6%ae%e0%a6%97%e0%a7%8d%e0%a6%b0/%e0%a6%9c%e0%a6%be%e0%a6%b9%e0%a6%be%e0%a6%99%e0%a7%8d%e0%a6%97%e0%a7%80%e0%a6%b0%e0%a7%87%e0%a6%b0-%e0%a6%b8%e0%a7%8d%e0%a6%ac%e0%a6%b0%e0%a7%8d%e0%a6%a3%e0%a6%ae%e0%a7%81%e0%a6%a6%e0%a7%8d%e0%a6%b0/
জয় বাবা ফেলুনাথ (১৯৭৫)	https://www.ebanglalibrary.com/category/%e0%a6%b8%e0%a6%a4%e0%a7%8d%e0%a6%af%e0%a6%9c%e0%a6%bf%e0%a7%8e-%e0%a6%b0%e0%a6%be%e0%a6%af%e0%a6%bc/%e0%a6%ab%e0%a7%87%e0%a6%b2%e0%a7%81%e0%a6%a6%e0%a6%be-%e0%a6%b8%e0%a6%ae%e0%a6%97%e0%a7%8d%e0%a6%b0/%e0%a6%9c%e0%a7%9f-%e0%a6%ac%e0%a6%be%e0%a6%ac%e0%a6%be-%e0%a6%ab%e0%a7%87%e0%a6%b2%e0%a7%81%e0%a6%a8%e0%a6%be%e0%a6%a5-%e0%a7%a7%e0%a7%af%e0%a7%ad%e0%a7%ab/
টিনটোরেটোর যীশু (উপন্যাস) (১৯৮২)	https://www.ebanglalibrary.com/category/%e0%a6%b8%e0%a6%a4%e0%a7%8d%e0%a6%af%e0%a6%9c%e0%a6%bf%e0%a7%8e-%e0%a6%b0%e0%a6%be%e0%a6%af%e0%a6%bc/%e0%a6%ab%e0%a7%87%e0%a6%b2%e0%a7%81%e0%a6%a6%e0%a6%be-%e0%a6%b8%e0%a6%ae%e0%a6%97%e0%a7%8d%e0%a6%b0/%e0%a6%9f%e0%a6%bf%e0%a6%a8%e0%a6%9f%e0%a7%8b%e0%a6%b0%e0%a7%87%e0%a6%9f%e0%a7%8b%e0%a6%b0-%e0%a6%af%e0%a7%80%e0%a6%b6%e0%a7%81-%e0%a6%89%e0%a6%aa%e0%a6%a8%e0%a7%8d%e0%a6%af%e0%a6%be%e0%a6%b8/
ডাঃ মুনসীর ডায়রি (গল্প) (১৯৮৯)	https://www.ebanglalibrary.com/category/%e0%a6%b8%e0%a6%a4%e0%a7%8d%e0%a6%af%e0%a6%9c%e0%a6%bf%e0%a7%8e-%e0%a6%b0%e0%a6%be%e0%a6%af%e0%a6%bc/%e0%a6%ab%e0%a7%87%e0%a6%b2%e0%a7%81%e0%a6%a6%e0%a6%be-%e0%a6%b8%e0%a6%ae%e0%a6%97%e0%a7%8d%e0%a6%b0/%e0%a6%a1%e0%a6%be%e0%a6%83-%e0%a6%ae%e0%a7%81%e0%a6%a8%e0%a6%b8%e0%a7%80%e0%a6%b0-%e0%a6%a1%e0%a6%be%e0%a6%af%e0%a6%bc%e0%a6%b0%e0%a6%bf-%e0%a6%97%e0%a6%b2%e0%a7%8d%e0%a6%aa-%e0%a7%a7%e0%a7%af/
দার্জিলিং জমজমাট (উপন্যাস) (১৯৮৬)	https://www.ebanglalibrary.com/category/%e0%a6%b8%e0%a6%a4%e0%a7%8d%e0%a6%af%e0%a6%9c%e0%a6%bf%e0%a7%8e-%e0%a6%b0%e0%a6%be%e0%a6%af%e0%a6%bc/%e0%a6%ab%e0%a7%87%e0%a6%b2%e0%a7%81%e0%a6%a6%e0%a6%be-%e0%a6%b8%e0%a6%ae%e0%a6%97%e0%a7%8d%e0%a6%b0/%e0%a6%a6%e0%a6%be%e0%a6%b0%e0%a7%8d%e0%a6%9c%e0%a6%bf%e0%a6%b2%e0%a6%bf%e0%a6%82-%e0%a6%9c%e0%a6%ae%e0%a6%9c%e0%a6%ae%e0%a6%be%e0%a6%9f-%e0%a6%89%e0%a6%aa%e0%a6%a8%e0%a7%8d%e0%a6%af%e0%a6%be/
নয়ন রহস্য (উপন্যাস) (১৯৯০)	https://www.ebanglalibrary.com/category/%e0%a6%b8%e0%a6%a4%e0%a7%8d%e0%a6%af%e0%a6%9c%e0%a6%bf%e0%a7%8e-%e0%a6%b0%e0%a6%be%e0%a6%af%e0%a6%bc/%e0%a6%ab%e0%a7%87%e0%a6%b2%e0%a7%81%e0%a6%a6%e0%a6%be-%e0%a6%b8%e0%a6%ae%e0%a6%97%e0%a7%8d%e0%a6%b0/%e0%a6%a8%e0%a6%af%e0%a6%bc%e0%a6%a8-%e0%a6%b0%e0%a6%b9%e0%a6%b8%e0%a7%8d%e0%a6%af-%e0%a6%89%e0%a6%aa%e0%a6%a8%e0%a7%8d%e0%a6%af%e0%a6%be%e0%a6%b8-%e0%a7%a7%e0%a7%af%e0%a7%af%e0%a7%a6/
নেপোলিয়নের চিঠি (গল্প) (১৯৮১)	https://www.ebanglalibrary.com/category/%e0%a6%b8%e0%a6%a4%e0%a7%8d%e0%a6%af%e0%a6%9c%e0%a6%bf%e0%a7%8e-%e0%a6%b0%e0%a6%be%e0%a6%af%e0%a6%bc/%e0%a6%ab%e0%a7%87%e0%a6%b2%e0%a7%81%e0%a6%a6%e0%a6%be-%e0%a6%b8%e0%a6%ae%e0%a6%97%e0%a7%8d%e0%a6%b0/%e0%a6%a8%e0%a7%87%e0%a6%aa%e0%a7%8b%e0%a6%b2%e0%a6%bf%e0%a6%af%e0%a6%bc%e0%a6%a8%e0%a7%87%e0%a6%b0-%e0%a6%9a%e0%a6%bf%e0%a6%a0%e0%a6%bf-%e0%a6%97%e0%a6%b2%e0%a7%8d%e0%a6%aa-%e0%a7%a7%e0%a7%af/
